forme_erronée,forme_correcte
tolerance,tolérance
tomps,temps
Toracle,l’oracle
tôte,tête
touchy,touché
toujc'jurs,toujours
Toulefnis,Toutefois
toulefnis,toutefois
Toulefnis,,Toutefois,
TOULOUSB,TOULOUSE
Tousces,Tous ces
tousiours,toujours
Tousiours,toujours
Toutil,l’outil
Toutillage,l’outillage
tpie,que
tpirhpics,Quelques-uns
tracdes,tracées
trancliée,tranchée
transmel,transmet
trd-,tré-
Trdsor,Trésor
TREIZltME,TREIZIÈME
tres,très
Tri/re,Trière
Tricre,Trière
trilobpé,trilobé
Trivre,Trière
troi/vera,trouvera
Troiie,Troie
trouné,trouvé
Tun,l’un
Tune,l’une
Tunèbre,funèbre
Tunèbres,funèbres
Tusage,l’usage
TuUius,Tullius
u'élail,n’était
ùbereinstimmung,übereinstimmung
ûbergangsstiles,übergangsstiles
ùberhaupt,überhaupt
ûberhôrt,überhört
ùbersetzt,übersetzt
ûbersetzt,übersetzt
ûbertragung,übertragung
ûbrigen,übrigen
ûbservations,observations
ûebungen,uebungen
Ueniente,Clemente
ùenkmaeler,Denkmaeler
ùeuzey,Heuzey
üffentlichen,öffentlichen
ügyptisches,ägyptisches
ügyptisclzen,ägyptischen
UI'CRIVAINS,D’ÉCRIVAINS
UiNE,UNE
Uist,Hist
ùitellectuelle,intellectuelle
ùjouter,ajouter
uliliser,utiliser
ülvmpie,olympie
ùnderground,underground
ùnepiècequi,une pièce qui
Unirisszeichnung,Umrisszeichnung
ùniversity,university
uno,une
unq,une
uoelurne,nocturne
Urgcschichtc,Urgeschichte
Urgcschichtc;,Urgeschichte;
ùsité,usité
ûsterreich,österreich
üsterreich,österreich
ùsuels,usuels
üthiopischen,öthiopischen
ùtile,utile
ùtilité,utilité
UTIUM,LATIUM
utjusie.,injuste
ùtudié,étudié
v^te-,vête-
v^temens;,vêtements;
VAcropole,l’Acropole
Valenlini,Valentini
vanUT,vanter
VArch3Sol,Archaeol
varid,varié
varietds,variétés
Vart,L’art
VArt,L’Art
vascs,vases
vasle,vaste
Vautre,l’autre
vccureBt,vécurent
vdcu,vécu
vé'rilahiement,véritablement
vêlements,vêtements
ven- tre,ventre
venii',venir
venl,vent
verity,vérité
verln-al,vertical
verln-al,,vertical,
verln-al.,vertical.
vermilion,vermillon
veul,veut
vfitue,vêtue
VHistoire,L’Histoire
Viclionn,Dictionn
vicloire,victoire
vicloire,,victoire,
vicloire.,victoire.
VILLB,VILLE
Ville-lossc,Villefosse
VILLfi,VILLE
vme,Vme
vmilu,voulu
vn,Un
Vn,Un
VN,Un
vN,Un
voeu,vœu
Voeu,Vœu
voii',voir
voilk,voilà
volenté,volonté
volentiers,volontiers
Volsgues,Volsques
voultlt-il,voulût-il
vraiscmblahlemenl,vraisemblablement
VUJliE,VILLE
vuse,vase
VUSÉE,MUSÉE
Wcschera,Wescher a
Wcsclier,Wescher
Wcstreiches,Westreiches
Weschcr,Wescher
Xénoplion,Xénophon
Xlau,Mau
YILLB,VILLE
Yirg,Virg
Yulcain,Vulcain
Zeittchr,Zeitschr
1a,la
1e,le
1u,lu
Gela,Cela
Gomme,Comme
Gomment,Comment
môme,même
mômes,mêmes
