forme_erronée,forme_correcte
GRÈCfci,GRÈCE
GRECQ.UE,GRECQUE
GRÈGE,GRÈCE
grsLce,grâce
gu'à,qu’à
gu'il,qu’il
gu^re,guère
GUBRRB,GUERRE
gue,que
Guienne,Guyenne
hauveur,hauteur
hcllc,belle
Hcoles,Écoles
heancoup,beaucoup
HÉDICIS,MÉDICIS
Hegire,Hégire
Hejdemaun,Heydemann
hel« Ioniques,helléniques
Hellcnen,Hellenen
helle'nique,hellénique
helléniciue,hellénique
hellenisclie,hellenische
Hémoslbène,Démosthène
Héperl,Répert
Héphais- tos,,Héphaistos,
Hermaich,Hermarch
Hermogencs,Hermogenes
Heslia,Hestia
hesog-ne,besogne
Hétas,Hélas
Hetiri,Henri
heUes-lettres,belles-lettres
heuie,heure
Hevue,Revue
Heydcmann,Heydemann
Hicn,Rien
hicn,bien
Hidcrire,Histoire
Hiftoire,Histoire
hiftoire,Histoire
hisloricns,historiens
HISTOIAB,HISTOIRE
HISTOIRB,HISTOIRE
hloc,bloc
hoiilieurs,honneurs
hoimnes,hommes
Homa,Roma
Homa,,Roma,
Home,Rome
hommaife,hommage
honimesqui,hommes qui
honmie,homme
Hume,Rome
HYCÉNES,MYCÈNES
hypolhèse,hypothèse
hypothèsp,hypothèse
i ntéressa//fes,intéressantes
i-éaliLé,réalité
i;onlroversé,controversé
I.acédémone,Lacédémone
I.NSTITL'TIONS,INSTITUTIONS
I'illusion,l’illusion
I'outillage,l’outillage
i)orlent,portent
I/ar-lisle,l’artiste
i^rec(pies,grecques
i^rtnids,grands
i^uère,guère
i>tre,être
I>U,DU
i3COLLECTION,COLLECTION
îa,la
ÎA,la
iaiportance,importance
Icières,trières
iddes,idées
idocs,blocs
iei,ici
iEmilius,Emilius
ih'bit,débit
ihoisii-,choisir
Ihomme,l’homme
iiasards,hasards
iiiscript,inscript
iiniforuu'numl,uniformément
iinmédialement,immédiatement
iinmhre,nombre
iiommage,hommage
ijrec,grec
iju'il,qu’il
Ikulschc,Deutsche
il'un,d’un
ilconteste,il conteste
Ilcuzev,Heuzey
Ilècabè,Hècabè
ilesiod,Hesiod
Ileu/ev,Heuzey
Ileydemann'^,Heydemann
Iliéromnémons,Hiéromnémons
Ilirschfeld,Hirschfeld
Ilirsehfeld,Hirschfeld
Ilirselileld,Hirschfeld
ilo,de
Ilolbig,Helbig
ilomolle,Homolle
